Year	Winner	Result	Runner-up
1996	New York Yankees	4-2	Atlanta Braves
1997	Florida Marlins	4-3	Cleveland Indians
1998	New York Yankees	4-0	San Diego Padres
1999	New York Yankees	4-0	Atlanta Braves
2000	New York Yankees	4-1	New York Mets
2001	Arizona Diamondbacks	4-3	New York Yankees
2002	Anaheim Angels	4-3	San Francisco Giants
2003	Florida Marlins	4-2	New York Yankees
2004	Boston Red Sox	4-0	St. Louis Cardinals
2005	Chicago White Sox	4-0	Houston Astros
2006	St. Louis Cardinals	4-1	Detroit Tigers
2007	Boston Red Sox	4-0	Colorado Rockies
2008	Philadelphia Phillies	4-1	Tampa Bay Rays
2009	New York Yankees	4-2	Philadelphia Phillies
2010	San Francisco Giants	4-1	Texas Rangers
2011	St. Louis Cardinals	4-3	Texas Rangers
2012	San Francisco Giants	4-0	Detroit Tigers
2013	Boston Red Sox	4-2	St. Louis Cardinals
2014	San Francisco Giants	4-3	Kansas City Royals
2015	Kansas City Royals	4-1	New York Mets
2016	Chicago Cubs	4-3	Cleveland Indians
2017	Houston Astros	4-3	Los Angeles Dodgers
